x1,x2,y
1.2393644,-4.643872,1.252991
0.26108742,2.8663802,1.5509158
0.6849086,-1.5439928,1.3824545
1.079956,2.8306918,3.4226975
0.048182845,-3.950752,1.5020465
1.0227747,3.3030548,3.5600586
-1.4265628,3.8440218,7.824298
1.0359294,3.4447632,3.7799976
0.46859014,2.2893467,1.6396097
1.4089837,2.3426332,4.6835737
1.1939023,-0.34855604,1.413047
-0.615285,-0.356462,1.4756235
0.03748989,-3.0320704,1.503132
1.1581023,0.9097123,1.9297155
0.68176436,-4.744624,1.2837676
1.2758427,-0.9455843,1.3122584
-1.3078312,-1.1782937,1.290133
-1.4334493,0.54502106,1.881682
0.5607505,4.7922354,2.0810168
-0.30201483,-1.43928,1.476357
0.42699075,-3.7207985,1.3881521
0.54088545,1.4012766,1.6107864
1.3066447,-4.270253,1.2529578
0.8262739,-3.4292054,1.2798806
1.2570257,4.7544746,7.51452
-1.1305594,4.9161186,6.290121
-1.0280225,-1.0348196,1.344169
-0.05604565,0.065722466,1.5041233
-0.98563904,3.1799507,3.2371514
0.9528146,-2.9612052,1.2720033
0.38357067,-3.0127776,1.4211644
-0.97118694,2.404233,2.5769534
-0.5564207,3.976942,1.935225
1.1727023,0.52979946,1.7177846
-1.3817325,-3.4730082,1.2531399
1.0264428,3.2938395,3.5736828
-1.3508309,0.0885911,1.5423267
1.3462405,4.3220253,7.8344674
0.23327279,4.2094,1.5597048
-0.59101295,-4.8189774,1.3044792
0.46024275,0.44145584,1.5256263
1.4452868,4.608693,9.627117
-1.0168172,-4.103045,1.2568619
-1.3681002,-2.7583737,1.2543975
-1.2991903,1.3285112,2.5584505
-0.23176455,-0.78986835,1.4948034
0.6791115,4.705718,2.5063744
1.1497796,3.0916195,4.144195
0.048427343,2.8829136,1.5055838
-0.6869037,1.935525,1.7904943
1.3324487,-3.9573975,1.2530167
1.0015352,0.6813631,1.7012352
1.4655209,1.4511962,3.2609472
-0.28923297,-2.026382,1.468812
-1.3533157,-0.29809666,1.4059228
0.28672147,0.1626482,1.5070643
-0.8486742,-0.72780085,1.4090413
