x1,x2,y
3.3971534,1.5060675,29.918682
3.5396705,1.3629639,34.485096
3.1892567,1.7627553,24.32657
2.077505,2.0247085,8.077058
3.5830646,2.0398486,36.04615
2.087038,1.2183205,8.090568
2.516818,1.4462459,12.435076
3.8804975,1.8343061,48.49928
2.0558233,1.9809241,7.9042077
3.4742355,1.3648912,32.30328
3.630137,2.096489,37.78185
2.7456832,1.8814874,15.644542
3.217843,1.2963047,25.001226
3.5291038,1.6559021,34.140057
2.4246283,1.2343742,11.325945
2.6478307,1.0118957,14.124878
2.3336532,1.0347788,10.320389
3.7038674,1.6209936,40.647144
2.5821357,1.9523079,13.3013935
2.2979202,1.1066563,9.967789
3.8356636,1.7299566,46.371143
3.2893844,1.4692005,26.864868
2.8733153,1.7987359,17.758432
3.2174582,1.9749258,25.029936
2.0403705,2.0334494,7.787575
3.4464512,1.6419284,31.435642
3.8065047,1.0978804,45.001522
2.6690512,1.0980386,14.437979
2.5929854,1.5801861,13.424234
3.0117788,1.0422236,20.328232
3.6788259,1.9433348,39.657497
3.128985,1.2565999,22.875254
2.4685793,1.4507838,11.85269
3.9450622,1.5278208,51.71579
3.1234682,1.7896719,22.783516
2.18427,1.6126902,8.948777
3.8714762,1.8829042,48.06622
2.143311,1.9269965,8.613142
3.9956758,1.1939203,54.378086
2.2824123,1.1058899,9.814604
2.0681357,1.0533093,7.9181347
2.4971566,1.6023126,12.205639
3.4934177,1.0952348,32.907246
2.0275707,1.3535551,7.6408424
2.0648131,1.2627058,7.9187574
3.8059206,1.0722327,44.973083
3.8234081,1.784554,45.809402
2.9061403,2.0874972,18.36141
3.7660031,2.0814848,43.268566
2.7228825,1.8356189,15.291555
3.0708168,2.0628414,21.630825
3.123005,1.1875621,22.733152
3.6404202,1.5223987,38.146305
2.9032989,1.855777,18.299383
2.4096742,1.4907987,11.181441
3.1903982,1.9842298,24.364262
2.5228477,1.8371701,12.535498
2.6305645,1.8403445,13.9510355
2.1890965,1.1873522,8.95204
3.8617349,1.4233106,47.578835
2.630413,1.2319345,13.905399
3.078045,1.1127416,21.727734
3.1158218,1.8271928,22.61234
3.143116,1.8406537,23.236578
2.2313194,2.0446925,9.401195
3.9720144,1.271618,53.112347
3.9748392,1.3774071,53.26918
3.497669,1.0720372,33.045284
2.4355078,1.3167716,11.4574995
3.1835284,1.2426059,24.154736
2.61128,1.6812414,13.677263
3.3453755,1.4677908,28.40913
3.2589126,1.5776855,26.066637
2.5458026,1.1063552,12.7666
2.5980403,1.0967134,13.449199
2.7999747,1.2692327,16.472204
2.310279,1.7128961,10.145958
2.0047007,1.2309713,7.455896
3.9228,1.8631585,50.593437
2.4005494,1.4427574,11.076637
3.4432006,2.0723603,31.352612
2.9035115,1.4588146,18.279991
3.7617707,1.3626549,43.052574
3.0615017,1.2402077,21.383158
3.0878696,1.7306952,21.986301
2.6463013,1.8889222,14.173387
2.7779393,2.0824766,16.163515
2.895896,1.4597867,18.141783
2.4681807,1.9204984,11.877957
2.1599507,1.6317598,8.737259
2.5662956,1.0139499,13.019328
3.0096786,1.5006015,20.324406
2.3931513,1.2020718,10.972726
3.9869628,1.8577783,53.941746
2.3288248,1.9365753,10.347004
2.748889,1.640554,15.681256
3.0248127,2.09197,20.663427
3.7674465,1.2789876,43.2919
2.247457,1.1190584,9.479797
3.4318662,1.7047931,30.984524
