x1,x2,y
3.1633477,1.6379011,23.699608
2.825432,1.8107903,16.932514
2.5244646,1.9522257,12.561513
2.4721718,1.548702,11.902563
2.5702238,1.5798655,13.123709
2.7831926,1.5615215,16.221025
3.1550393,1.9575646,23.519575
3.2092361,1.6736581,24.811506
3.7979808,1.812217,44.661964
2.006617,1.1984706,7.466161
2.7544312,1.1616756,15.730201
3.1644964,1.5675492,23.722721
3.1851115,1.9341198,24.234129
2.146358,1.5180742,8.611727
2.0665693,1.8199695,7.97915
3.2426891,1.481792,25.642262
2.4383655,1.1947877,11.477939
2.699256,1.6885091,14.928367
2.6715546,1.5519842,14.513895
3.2406197,1.264595,25.573954
3.2606177,1.2811495,26.091206
2.9311352,1.9531777,18.81812
3.2049146,1.7623475,24.709347
2.6121676,1.2773371,13.658917
2.7419214,1.0645107,15.524458
3.6193633,1.6578946,37.359608
3.4572272,1.1517773,31.742973
3.8756697,1.8988497,48.26856
3.1082754,1.9117024,22.446793
3.6771472,2.0045612,39.59341
2.4766755,1.1363137,11.918546
3.276301,1.6379178,26.526232
2.022274,1.7249491,7.631999
3.202927,1.6342628,24.653719
2.3058925,1.4021968,10.078519
3.0832443,1.0629334,21.835903
2.096603,1.4652615,8.193053
3.2226896,1.2375705,25.117867
3.7172554,1.1379108,41.16341
3.1095285,1.5115926,22.45357
3.2282202,1.6296035,25.283411
3.6142879,1.3133608,37.150585
3.4580984,1.7615639,31.809156
3.2902975,1.588781,26.896544
3.425394,1.3794985,30.766237
3.6289787,1.3163258,37.700123
3.2971447,1.8324968,27.093338
3.6133204,1.0926895,37.097565
2.628665,1.3221972,13.889495
2.587293,1.2293898,13.319734
2.859874,1.8856711,17.526714
3.7732391,1.2557055,43.54162
2.030723,1.6304672,7.6891007
3.83375,1.7803178,46.284805
3.763706,1.8510703,43.16083
2.3725634,1.0883708,10.736549
2.500297,1.8914583,12.260915
2.4693704,1.7041199,11.879866
2.178307,1.5523988,8.891519
2.6378322,1.1121812,13.996267
3.3707862,2.0580106,29.167631
3.4610915,1.0740376,31.85891
2.9778306,1.6076422,19.695803
3.2966669,1.474792,27.061226
3.5478604,1.1436218,34.752014
3.03648,1.7571635,20.8899
2.0130506,1.422154,7.5383763
3.5946195,2.0881324,36.465916
2.7716546,1.4705001,16.029415
3.0683937,1.3169479,21.537088
3.808606,1.1938083,45.10371
3.0924082,1.7303573,22.085976
2.8504481,1.5868024,17.34666
3.5109508,1.9008734,33.53817
3.7190232,1.4227198,41.256145
2.7103603,1.1643983,15.053314
3.439324,1.0387659,31.169743
2.6827514,1.3314203,14.659747
3.039,1.274347,20.910913
2.2676282,1.0593743,9.664781
2.2726018,1.1865159,9.728687
3.05796,1.2395567,21.30761
2.9240985,1.5505744,18.665264
3.5115724,1.7961783,33.554462
2.1060076,1.3598672,8.259946
3.9769554,1.6429465,53.396015
3.3891006,1.1523484,29.653667
3.5503788,1.5959799,34.869827
2.2585385,2.0983772,9.659874
3.3733916,1.5684247,29.22095
2.86076,1.7483361,17.535198
2.040573,1.919339,7.7830667
2.0003393,1.2193534,7.422244
3.8872643,1.7875398,48.82622
3.396018,1.6575221,29.893242
3.3313875,1.4964211,28.016947
3.3166025,1.3980956,27.60015
2.7085667,1.9561332,15.081329
2.6265163,1.4508916,13.870323
2.1220255,2.0567465,8.440801
